listing_id,brand,model,year,price_inr,transmission,mileage_km,fuel_type,city,car_age,mileage_per_year,price_per_km,price_vs_model_median_pct,source_url,condition_grade,days_on_market,recon_cost_est,acquisition_cost,holding_cost_per_day,expected_resale_price
DW-002819,MG,Hector,2022,1253213.0,Manual,30982.0,Petrol,Kolkata,5,6196.0,40.45,9.8,https://www.cardekho.com/used-car-details/used-Mg-hector-hybrid-sharp-mt-cars-Kolkata_6ee04764-8cda-462c-a086-5714e7c060f9.htm,Good,25,9000,914629.0,2012.18,1253213.0
DW-004817,Ford,Endeavour,2021,2800000.0,Automatic,100000.0,Diesel,Indore,6,16667.0,28.0,40.0,https://www.cardekho.com/used-car-details/used-Ford-endeavour-titanium-plus-4x2-at-cars-Indore_1f800b61-611e-427b-84c0-b12116b33195.htm?adId=30085&adType=41,Fair,84,22000,2247340.0,4944.15,2800000.0
DW-010406,Hyundai,Grand i10,2018,399000.0,Manual,40216.0,Petrol,Thane,9,4468.0,9.92,9.9,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-magna-bsiv-cars-Thane_b95a57b6-0bd8-4681-8aee-e45e63029927.htm,Fair,39,22000,297877.0,655.33,399000.0
DW-001419,BMW,X3,2012,1350000.0,Automatic,112907.0,Diesel,Bangalore,15,7527.0,11.96,-42.6,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive30d-cars-Bangalore_4049b990-8c5d-4b54-be71-8c265cc3c826.htm,Fair,47,22000,1028926.0,2263.64,1350000.0
DW-003543,Maruti Suzuki,Ciaz,2018,623000.0,Automatic,30628.0,Petrol,Lucknow,9,3403.0,20.34,16.9,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-14-at-alpha-cars-Lucknow_70408d09-ce6a-43d5-a8bb-019ca822e6af.htm,Fair,42,22000,431718.0,949.78,623000.0
DW-006773,Tata,Altroz,2022,512998.0,Manual,75069.0,Diesel,Rajkot,5,15014.0,6.83,-10.8,https://www.cardekho.com/buy-used-car-details/used-Tata-altroz-xz-diesel-bsvi-cars-Rajkot_07b2b153-e529-4e9d-80ba-6996352fe8cd.htm,Fair,42,22000,398291.0,876.24,512998.0
DW-006713,Jeep,Compass,2026,2950000.0,Automatic,13554.0,Diesel,Mumbai,1,13554.0,217.65,202.6,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-model-s-opt-4x4-at-cars-Mumbai_a8d1a7d2-34e5-4dd4-b4c0-533d989edd24.htm,Good,65,9000,2481077.0,5458.37,2950000.0
DW-006990,Tata,Bolt,2017,249000.0,Manual,65000.0,Diesel,Varanasi,10,6500.0,3.83,-0.4,https://www.cardekho.com/used-car-details/used-Tata-bolt-quadrajet-xms-cars-Varanasi_b443131c-c9fe-471e-89f6-ce1a5c725b27.htm,Fair,34,22000,179261.0,394.37,249000.0
DW-008036,BMW,X1,2024,4250000.0,Automatic,35000.0,Petrol,Noida,3,11667.0,121.43,129.7,https://www.cardekho.com/used-car-details/used-Bmw-x1-sdrive18i-m-sport-cars-Noida_100839d4-00bf-4bf5-890a-a3c0c19219ae.htm,Good,71,9000,3551136.0,7812.5,4250000.0
DW-004608,BMW,X1,2017,1800000.0,Automatic,61278.0,Diesel,Coimbatore,10,6128.0,29.37,-2.7,https://www.cardekho.com/used-car-details/used-Bmw-x1-sdrive-20d-xline-cars-Coimbatore_e28a62b2-5458-4d50-9590-bf451f1c1335.htm,Fair,33,22000,1503730.0,3308.21,1800000.0
DW-001804,Audi,A6,2012,999000.0,Automatic,117000.0,Diesel,Hyderabad,15,7800.0,8.54,-36.6,https://www.cardekho.com/used-car-details/used-Audi-a6-20-tdi-technology-cars-Hyderabad_358ff7a7-b86f-4c87-8b6a-ec1830f76091.htm,Fair,51,22000,730055.0,1606.12,999000.0
DW-003847,Maruti Suzuki,Vitara Brezza,2016,488000.0,Manual,146270.0,Diesel,Chandigarh,11,13297.0,3.34,-25.7,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zdi-plus-cars-Chandigarh_2a513e5f-43f5-4361-8822-ef7a6fa059a0.htm,Fair,48,22000,366318.0,805.9,488000.0
DW-007921,Toyota,Fortuner,2017,1800000.0,Manual,92000.0,Petrol,Noida,10,9200.0,19.57,-26.5,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-27-2wd-mt-bsiv-cars-Noida_d8645d78-42ab-4ec5-8706-2932747c20cc.htm?adId=35011&adType=41,Fair,36,22000,1365962.0,3005.12,1800000.0
DW-010400,Hyundai,Grand i10,2015,300000.0,Manual,95000.0,Petrol,Navi Mumbai,12,7917.0,3.16,-17.4,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-magna-cars-Navi-Mumbai_9c66457b-d466-4357-a4d7-c4a9718e5345.htm?adId=31281&adType=41,Fair,34,22000,232398.0,511.28,300000.0
DW-005274,Honda,City,2012,320000.0,Automatic,56000.0,Petrol,Nagpur,15,3733.0,5.71,-45.8,https://www.cardekho.com/used-car-details/used-Honda-city-v-at-cars-Nagpur_bb4da74d-1ff5-4aa8-a85a-6f7fff52214c.htm,Fair,19,22000,206503.0,454.31,320000.0
DW-005310,Volkswagen,Jetta,2011,230000.0,Manual,80000.0,Diesel,Nagpur,16,5000.0,2.88,-53.8,https://www.cardekho.com/used-car-details/used-Volkswagen-jetta-20-tdi-comfortline-cars-Nagpur_2d05bd88-708c-4f39-bb54-fb5d7cb58d05.htm,Fair,25,22000,153227.0,337.1,230000.0
DW-001285,Toyota,Hyryder,2022,1700000.0,Automatic,43000.0,Petrol,Bangalore,5,8600.0,39.53,15.7,https://www.cardekho.com/used-car-details/used-Toyota-hyryder-g-hybrid-bsvi-cars-Bangalore_59b9e119-5a13-4d81-90c7-db7cc694442b.htm?adId=34882&adType=41,Good,44,9000,1404262.0,3089.38,1700000.0
DW-001517,Jeep,Compass,2020,1593000.0,Automatic,48154.0,Diesel,Bangalore,7,6879.0,33.08,63.4,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-plus-4x4-at-cars-Bangalore_a6f9f950-b79a-4482-bf47-16856c68b051.htm,Good,82,9000,1173974.0,2582.74,1593000.0
DW-007729,Ford,Ecosport,2017,346140.0,Manual,70036.0,Petrol,Gurgaon,10,7004.0,4.94,-25.4,https://www.cardekho.com/used-car-details/used-Ford-ecosport-10-ecoboost-trend-plus-bsiv-cars-Gurgaon_6a122b67-f8c4-4348-9041-fb4160d3bb48.htm,Fair,19,22000,261201.0,574.64,346140.0
DW-004033,BMW,3 Series,2021,610000.0,Automatic,118763.0,Petrol,Chandigarh,6,19794.0,5.14,-59.3,https://www.cardekho.com/used-car-details/used-Bmw-3-series-petrol-cars-Chandigarh_037baabf-df18-481f-a088-1371316b95d7.htm,Fair,41,22000,440025.0,968.06,610000.0
